movie_id,rating,comment
1,5,Review comment placeholder text.
1,5,Review comment placeholder text.
1,5,Review comment placeholder text.
1,5,Review comment placeholder text.
1,5,Review comment placeholder text.
2,1,Review comment placeholder text.
2,2,Review comment placeholder text.
2,1,Review comment placeholder text.
2,5,Review comment placeholder text.
2,5,Review comment placeholder text.
3,1,Review comment placeholder text.
3,5,Review comment placeholder text.
3,5,Review comment placeholder text.
3,5,Review comment placeholder text.
3,3,Review comment placeholder text.
4,2,Review comment placeholder text.
4,1,Review comment placeholder text.
4,1,Review comment placeholder text.
4,1,Review comment placeholder text.
4,2,Review comment placeholder text.
5,4,Review comment placeholder text.
5,5,Review comment placeholder text.
5,4,Review comment placeholder text.
5,2,Review comment placeholder text.
5,2,Review comment placeholder text.
6,5,Review comment placeholder text.
6,4,Review comment placeholder text.
6,1,Review comment placeholder text.
6,5,Review comment placeholder text.
6,2,Review comment placeholder text.
7,2,Review comment placeholder text.
7,5,Review comment placeholder text.
7,4,Review comment placeholder text.
7,2,Review comment placeholder text.
7,4,Review comment placeholder text.
8,2,Review comment placeholder text.
8,2,Review comment placeholder text.
8,3,Review comment placeholder text.
8,2,Review comment placeholder text.
8,1,Review comment placeholder text.
9,5,Review comment placeholder text.
9,5,Review comment placeholder text.
9,4,Review comment placeholder text.
9,2,Review comment placeholder text.
9,1,Review comment placeholder text.
10,4,Review comment placeholder text.
10,3,Review comment placeholder text.
10,4,Review comment placeholder text.
10,4,Review comment placeholder text.
10,2,Review comment placeholder text.
