activity_id,viewer_id,movie_id,watch_date,watch_minutes,completion_rate,device_used
ACT00001,VWR1170,MOV030,2025-03-16 18:17:00,68,57,Tablet
ACT00002,VWR0703,MOV050,2025-11-03 17:47:00,103,86,Mobile
ACT00003,VWR0025,MOV014,2025-11-14 09:28:00,108,90,Mobile
ACT00004,VWR1360,MOV047,2025-03-19 23:37:00,58,49,Tablet
ACT00005,VWR0656,MOV017,2025-01-28 21:03:00,96,80,Mobile
ACT00006,VWR0629,MOV012,2025-12-11 22:52:00,40,34,Mobile
ACT00007,VWR1073,MOV007,2025-02-28 11:02:00,92,77,Smart TV
ACT00008,VWR0031,MOV035,2025-04-01 02:09:00,63,53,Tablet
ACT00009,VWR0744,MOV038,2025-12-19 18:34:00,56,47,Desktop
ACT00010,VWR0531,MOV023,2025-08-17 20:29:00,102,85,Tablet
ACT00011,VWR1397,MOV051,2025-05-01 23:13:00,112,94,Desktop
ACT00012,VWR0007,MOV023,2025-01-06 21:42:00,109,91,Mobile
ACT00013,VWR0383,MOV052,2025-07-19 05:30:00,24,20,Desktop
ACT00014,VWR0741,MOV018,2025-09-19 18:24:00,60,50,Tablet
ACT00015,VWR1283,MOV041,2025-09-11 17:04:00,116,97,Mobile
ACT00016,VWR0467,MOV034,2025-11-06 21:10:00,33,28,Smart TV
ACT00017,VWR1380,MOV050,2025-01-10 21:46:00,25,21,Smart TV
ACT00018,VWR0745,MOV025,2025-11-08 20:33:00,88,74,Smart TV
ACT00019,VWR0411,MOV010,2025-01-15 11:50:00,99,83,Mobile
ACT00020,VWR0655,MOV031,2025-04-18 11:51:00,46,39,Desktop
ACT00021,VWR1023,MOV011,2025-03-22 18:09:00,88,74,Tablet
ACT00022,VWR1189,MOV021,2025-11-23 01:05:00,19,16,Tablet
ACT00023,VWR1227,MOV007,2025-12-14 21:27:00,90,75,Mobile
ACT00024,VWR1239,MOV029,2025-06-20 20:36:00,116,97,Smart TV
ACT00025,VWR0042,MOV039,2025-10-18 17:57:00,103,86,Desktop
ACT00026,VWR0407,MOV050,2025-10-21 18:37:00,34,29,Mobile
ACT00027,VWR0621,MOV060,2025-04-20 09:01:00,57,48,Desktop
ACT00028,VWR0314,MOV021,2025-12-09 18:51:00,120,100,Mobile
ACT00029,VWR1479,MOV038,2025-09-16 19:51:00,27,23,Mobile
ACT00030,VWR0404,MOV050,2025-05-22 03:56:00,106,89,Mobile
ACT00031,VWR1087,MOV044,2025-08-15 15:25:00,21,18,Desktop
ACT00032,VWR0246,MOV006,2025-03-14 21:27:00,62,52,Mobile
ACT00033,VWR0315,MOV008,2025-07-24 14:11:00,69,58,Smart TV
ACT00034,VWR0238,MOV030,2025-11-21 09:55:00,108,90,Desktop
ACT00035,VWR0147,MOV028,2025-09-25 19:45:00,24,20,Tablet
ACT00036,VWR1434,MOV020,2025-11-19 20:04:00,112,94,Mobile
ACT00037,VWR0430,MOV012,2025-09-03 19:18:00,111,93,Desktop
ACT00038,VWR1299,MOV056,2025-12-03 19:12:00,78,65,Desktop
ACT00039,VWR0775,MOV055,2025-10-08 14:40:00,103,86,Smart TV
ACT00040,VWR0667,MOV031,2025-10-04 14:48:00,98,82,Mobile
ACT00041,VWR0030,MOV011,2025-12-28 15:12:00,24,20,Tablet
ACT00042,VWR0852,MOV006,2025-04-08 13:19:00,24,20,Smart TV
ACT00043,VWR1245,MOV005,2025-07-04 22:33:00,87,73,Mobile
ACT00044,VWR0006,MOV006,2025-08-12 21:48:00,45,38,Tablet
ACT00045,VWR0558,MOV020,2025-09-15 20:25:00,44,37,Smart TV
ACT00046,VWR1119,MOV060,2025-09-16 23:07:00,50,42,Smart TV
ACT00047,VWR1490,MOV031,2025-12-27 23:36:00,66,55,Smart TV
ACT00048,VWR0414,MOV034,2025-11-16 05:13:00,50,42,Desktop
ACT00049,VWR0036,MOV042,2025-01-17 10:00:00,69,58,Mobile
ACT00050,VWR1431,MOV011,2025-11-06 21:51:00,91,76,Tablet
ACT00051,VWR0990,MOV001,2025-07-31 20:38:00,112,94,Mobile
ACT00052,VWR0384,MOV039,2025-12-16 19:02:00,21,18,Mobile
ACT00053,VWR0356,MOV046,2025-02-13 22:01:00,18,15,Desktop
ACT00054,VWR0589,MOV053,2025-05-16 17:49:00,118,99,Mobile
ACT00055,VWR0454,MOV035,2025-08-10 22:46:00,81,68,Mobile
ACT00056,VWR0983,MOV055,2025-10-31 19:34:00,104,87,Mobile
ACT00057,VWR0455,MOV002,2025-04-12 20:46:00,102,85,Mobile
ACT00058,VWR0899,MOV016,2025-10-30 10:03:00,92,77,Mobile
ACT00059,VWR0044,MOV041,2025-07-11 04:23:00,102,85,Desktop
ACT00060,VWR0227,MOV037,2025-02-11 21:43:00,33,28,Tablet
ACT00061,VWR1232,MOV001,2025-11-30 22:09:00,100,84,Desktop
ACT00062,VWR0448,MOV037,2025-01-24 22:42:00,46,39,Smart TV
ACT00063,VWR0674,MOV012,2025-09-06 22:55:00,106,89,Desktop
ACT00064,VWR0992,MOV041,2025-05-12 23:17:00,27,23,Tablet
ACT00065,VWR0114,MOV029,2025-12-13 18:42:00,109,91,Mobile
ACT00066,VWR1295,MOV006,2025-09-17 18:09:00,22,19,Smart TV
ACT00067,VWR0884,MOV056,2025-02-19 22:43:00,104,87,Mobile
ACT00068,VWR0621,MOV023,2025-12-27 20:30:00,102,85,Desktop
ACT00069,VWR0177,MOV028,2025-09-20 19:34:00,72,60,Tablet
ACT00070,VWR0909,MOV030,2025-06-21 19:17:00,118,99,Tablet
ACT00071,VWR0522,MOV019,2025-11-24 18:33:00,58,49,Tablet
ACT00072,VWR0946,MOV002,2025-03-12 19:18:00,86,72,Desktop
ACT00073,VWR0078,MOV056,2025-12-09 11:25:00,12,10,Tablet
ACT00074,VWR0468,MOV054,2025-10-04 23:48:00,105,88,Tablet
ACT00075,VWR0459,MOV054,2025-04-13 01:26:00,55,46,Tablet
ACT00076,VWR1316,MOV044,2025-02-12 18:39:00,33,28,Smart TV
ACT00077,VWR1495,MOV018,2025-04-28 12:55:00,108,90,Smart TV
ACT00078,VWR0397,MOV040,2025-02-12 22:18:00,72,60,Smart TV
ACT00079,VWR0682,MOV031,2025-04-02 21:45:00,100,84,Mobile
ACT00080,VWR0638,MOV020,2025-05-12 20:37:00,110,92,Smart TV
ACT00081,VWR1410,MOV040,2025-07-17 20:56:00,67,56,Mobile
ACT00082,VWR0386,MOV004,2025-12-02 11:59:00,117,98,Mobile
ACT00083,VWR0153,MOV032,2025-02-14 23:47:00,15,13,Mobile
ACT00084,VWR1050,MOV023,2025-01-31 20:52:00,118,99,Mobile
ACT00085,VWR1359,MOV001,2025-03-20 03:43:00,104,87,Mobile
ACT00086,VWR0735,MOV020,2025-09-18 14:50:00,45,38,Tablet
ACT00087,VWR0718,MOV028,2025-01-17 04:50:00,51,43,Smart TV
ACT00088,VWR0118,MOV006,2025-08-29 23:03:00,118,99,Tablet
ACT00089,VWR0693,MOV022,2025-07-07 17:52:00,58,49,Tablet
ACT00090,VWR1073,MOV012,2025-12-24 18:39:00,27,23,Smart TV
ACT00091,VWR0790,MOV015,2025-03-24 23:43:00,26,22,Tablet
ACT00092,VWR0954,MOV001,2025-02-25 20:28:00,40,34,Tablet
ACT00093,VWR1390,MOV014,2025-09-06 22:16:00,49,41,Tablet
ACT00094,VWR1045,MOV053,2025-04-13 14:01:00,98,82,Smart TV
ACT00095,VWR0208,MOV002,2025-01-07 08:32:00,88,74,Desktop
ACT00096,VWR1169,MOV018,2025-08-05 17:56:00,117,98,Mobile
ACT00097,VWR1335,MOV059,2025-02-24 19:12:00,39,33,Desktop
ACT00098,VWR0023,MOV055,2025-01-18 19:58:00,21,18,Mobile
ACT00099,VWR1146,MOV049,2025-03-03 18:34:00,43,36,Smart TV
ACT00100,VWR0057,MOV044,2025-08-03 18:29:00,15,13,Tablet
ACT00101,VWR1013,MOV036,2025-10-22 17:13:00,21,18,Mobile
ACT00102,VWR0043,MOV053,2025-10-09 18:19:00,70,59,Mobile
ACT00103,VWR0019,MOV035,2025-01-07 17:30:00,86,72,Smart TV
ACT00104,VWR0604,MOV001,2025-04-04 19:18:00,120,100,Mobile
ACT00105,VWR0643,MOV022,2025-11-02 00:43:00,118,99,Mobile
ACT00106,VWR0911,MOV027,2025-02-04 12:08:00,32,27,Desktop
ACT00107,VWR1324,MOV052,2025-06-05 16:20:00,73,61,Smart TV
ACT00108,VWR1016,MOV036,2025-10-07 04:27:00,98,82,Desktop
ACT00109,VWR0415,MOV028,2025-09-20 20:36:00,94,79,Mobile
ACT00110,VWR1180,MOV059,2025-08-13 19:34:00,15,13,Desktop
ACT00111,VWR0768,MOV022,2025-10-13 10:31:00,111,93,Smart TV
ACT00112,VWR1000,MOV058,2025-11-27 23:15:00,62,52,Mobile
ACT00113,VWR0838,MOV057,2025-07-11 17:32:00,36,30,Tablet
ACT00114,VWR1238,MOV044,2025-05-24 18:11:00,44,37,Smart TV
ACT00115,VWR0705,MOV023,2025-08-01 21:05:00,30,25,Tablet
ACT00116,VWR0632,MOV007,2025-01-10 13:23:00,88,74,Tablet
ACT00117,VWR0698,MOV045,2025-09-24 22:31:00,18,15,Smart TV
ACT00118,VWR0754,MOV030,2025-04-23 19:13:00,38,32,Smart TV
ACT00119,VWR1308,MOV030,2025-02-07 17:01:00,72,60,Tablet
ACT00120,VWR1286,MOV044,2025-06-12 19:46:00,120,100,Mobile
ACT00121,VWR0491,MOV033,2025-07-02 03:42:00,105,88,Desktop
ACT00122,VWR0846,MOV003,2025-10-20 09:37:00,98,82,Desktop
ACT00123,VWR0296,MOV056,2025-08-13 20:23:00,52,44,Mobile
ACT00124,VWR0741,MOV010,2025-04-21 08:24:00,14,12,Tablet
ACT00125,VWR0337,MOV013,2025-10-30 10:33:00,67,56,Smart TV
ACT00126,VWR0993,MOV015,2025-12-25 19:48:00,44,37,Smart TV
ACT00127,VWR0311,MOV051,2025-07-28 19:46:00,76,64,Smart TV
ACT00128,VWR0375,MOV027,2025-02-10 19:28:00,118,99,Tablet
ACT00129,VWR1079,MOV034,2025-07-11 22:57:00,93,78,Desktop
ACT00130,VWR0887,MOV029,2025-03-22 18:42:00,76,64,Tablet
ACT00131,VWR0150,MOV036,2025-06-07 16:52:00,19,16,Desktop
ACT00132,VWR0312,MOV033,2025-10-28 22:33:00,46,39,Smart TV
ACT00133,VWR1405,MOV035,2025-01-26 20:35:00,24,20,Desktop
ACT00134,VWR0066,MOV041,2025-11-09 21:05:00,16,14,Desktop
ACT00135,VWR0682,MOV016,2025-04-17 12:29:00,110,92,Mobile
ACT00136,VWR0413,MOV021,2025-03-27 17:35:00,24,20,Tablet
ACT00137,VWR1334,MOV007,2025-07-29 11:15:00,28,24,Tablet
ACT00138,VWR0887,MOV038,2025-10-06 00:35:00,108,90,Tablet
ACT00139,VWR1326,MOV034,2025-01-13 20:47:00,14,12,Tablet
ACT00140,VWR1188,MOV020,2025-12-20 21:19:00,51,43,Mobile
ACT00141,VWR1477,MOV008,2025-04-03 18:22:00,40,34,Smart TV
ACT00142,VWR0074,MOV033,2025-09-26 21:30:00,98,82,Mobile
ACT00143,VWR0662,MOV054,2025-07-05 06:00:00,61,51,Mobile
ACT00144,VWR0430,MOV060,2025-06-02 21:11:00,48,40,Desktop
ACT00145,VWR0970,MOV047,2025-10-14 00:41:00,110,92,Mobile
ACT00146,VWR1141,MOV047,2025-03-26 21:02:00,31,26,Desktop
ACT00147,VWR0666,MOV044,2025-12-29 22:53:00,13,11,Smart TV
ACT00148,VWR1290,MOV052,2025-05-10 20:24:00,48,40,Desktop
ACT00149,VWR0302,MOV014,2025-08-27 23:59:00,45,38,Desktop
ACT00150,VWR0005,MOV010,2025-10-07 19:42:00,44,37,Tablet
ACT00151,VWR1274,MOV012,2025-02-08 15:21:00,80,67,Tablet
ACT00152,VWR0592,MOV003,2025-01-30 22:34:00,84,70,Mobile
ACT00153,VWR1107,MOV039,2025-02-25 23:11:00,73,61,Tablet
ACT00154,VWR0490,MOV009,2025-01-18 14:31:00,45,38,Desktop
ACT00155,VWR0839,MOV028,2025-10-05 20:36:00,109,91,Tablet
ACT00156,VWR1378,MOV005,2025-11-04 16:13:00,20,17,Mobile
ACT00157,VWR1134,MOV002,2025-09-03 21:40:00,115,96,Mobile
ACT00158,VWR1349,MOV011,2025-03-13 13:04:00,70,59,Tablet
ACT00159,VWR0785,MOV049,2025-02-20 17:03:00,58,49,Desktop
ACT00160,VWR1052,MOV052,2025-02-25 00:23:00,34,29,Tablet
ACT00161,VWR0613,MOV058,2025-08-02 17:18:00,33,28,Desktop
ACT00162,VWR0621,MOV005,2025-04-07 19:03:00,54,45,Desktop
ACT00163,VWR1135,MOV048,2025-09-15 17:20:00,114,95,Mobile
ACT00164,VWR0489,MOV041,2025-03-12 20:25:00,58,49,Smart TV
ACT00165,VWR0745,MOV030,2025-02-18 17:30:00,39,33,Smart TV
ACT00166,VWR1375,MOV020,2025-12-13 05:50:00,100,84,Smart TV
ACT00167,VWR0305,MOV022,2025-09-06 18:21:00,38,32,Tablet
ACT00168,VWR1199,MOV037,2025-05-24 07:22:00,85,71,Desktop
ACT00169,VWR0237,MOV002,2025-09-14 21:38:00,114,95,Mobile
ACT00170,VWR1371,MOV051,2025-04-02 19:37:00,33,28,Tablet
ACT00171,VWR0329,MOV014,2025-01-20 23:50:00,103,86,Smart TV
ACT00172,VWR1374,MOV011,2025-06-28 11:51:00,63,53,Desktop
ACT00173,VWR0909,MOV013,2025-01-17 01:48:00,15,13,Tablet
ACT00174,VWR1330,MOV027,2025-02-28 21:52:00,44,37,Tablet
ACT00175,VWR0580,MOV040,2025-11-07 22:14:00,28,24,Tablet
ACT00176,VWR0943,MOV026,2025-04-05 20:44:00,50,42,Tablet
ACT00177,VWR0652,MOV051,2025-11-17 19:52:00,67,56,Mobile
ACT00178,VWR0397,MOV045,2025-10-12 21:14:00,69,58,Smart TV
ACT00179,VWR0693,MOV049,2025-09-16 03:20:00,51,43,Tablet
ACT00180,VWR0085,MOV003,2025-04-22 17:39:00,117,98,Mobile
ACT00181,VWR1467,MOV056,2025-09-18 19:50:00,48,40,Mobile
ACT00182,VWR1482,MOV047,2025-10-20 03:41:00,36,30,Smart TV
ACT00183,VWR0583,MOV004,2025-11-03 19:05:00,100,84,Mobile
ACT00184,VWR0404,MOV019,2025-09-12 00:44:00,118,99,Mobile
ACT00185,VWR0531,MOV042,2025-11-27 09:57:00,55,46,Tablet
ACT00186,VWR0628,MOV016,2025-08-15 20:52:00,100,84,Mobile
ACT00187,VWR0765,MOV030,2025-07-14 17:46:00,57,48,Smart TV
ACT00188,VWR1234,MOV026,2025-05-20 21:17:00,20,17,Tablet
ACT00189,VWR0289,MOV016,2025-08-14 22:59:00,92,77,Tablet
ACT00190,VWR1391,MOV018,2025-04-05 01:43:00,97,81,Desktop
ACT00191,VWR0292,MOV048,2025-06-15 11:27:00,118,99,Desktop
ACT00192,VWR1024,MOV027,2025-12-14 21:29:00,32,27,Tablet
ACT00193,VWR0829,MOV027,2025-12-12 17:33:00,93,78,Tablet
ACT00194,VWR0974,MOV011,2025-01-23 22:57:00,45,38,Mobile
ACT00195,VWR0013,MOV001,2025-04-19 22:24:00,97,81,Mobile
ACT00196,VWR0520,MOV004,2025-04-19 04:11:00,118,99,Mobile
ACT00197,VWR0145,MOV045,2025-07-08 18:53:00,104,87,Smart TV
ACT00198,VWR0297,MOV056,2025-12-30 12:42:00,67,56,Tablet
ACT00199,VWR1216,MOV053,2025-01-04 05:42:00,105,88,Smart TV
ACT00200,VWR0009,MOV004,2025-07-25 21:23:00,34,29,Desktop
ACT00201,VWR1092,MOV044,2025-02-18 17:53:00,87,73,Mobile
ACT00202,VWR0453,MOV008,2025-07-11 15:32:00,18,15,Tablet
ACT00203,VWR0968,MOV021,2025-03-08 00:48:00,16,14,Tablet
ACT00204,VWR0260,MOV033,2025-04-07 21:47:00,118,99,Mobile
ACT00205,VWR0509,MOV002,2025-04-24 21:04:00,112,94,Mobile
ACT00206,VWR0802,MOV019,2025-10-26 18:41:00,88,74,Tablet
ACT00207,VWR0577,MOV052,2025-08-23 09:26:00,87,73,Desktop
ACT00208,VWR0690,MOV050,2025-09-27 20:06:00,106,89,Tablet
ACT00209,VWR0279,MOV040,2025-08-07 21:53:00,96,80,Tablet
ACT00210,VWR0139,MOV023,2025-11-09 01:14:00,100,84,Mobile
ACT00211,VWR0301,MOV042,2025-12-07 21:29:00,43,36,Smart TV
ACT00212,VWR0296,MOV002,2025-12-18 17:01:00,31,26,Mobile
ACT00213,VWR0447,MOV041,2025-03-20 21:25:00,46,39,Tablet
ACT00214,VWR0447,MOV056,2025-03-18 13:06:00,110,92,Tablet
ACT00215,VWR0317,MOV041,2025-03-05 18:51:00,79,66,Desktop
ACT00216,VWR0291,MOV059,2025-08-04 22:09:00,52,44,Smart TV
ACT00217,VWR1499,MOV004,2025-11-06 18:04:00,102,85,Mobile
ACT00218,VWR0139,MOV038,2025-03-04 22:22:00,32,27,Mobile
ACT00219,VWR0321,MOV014,2025-05-18 19:43:00,92,77,Mobile
ACT00220,VWR0457,MOV055,2025-06-20 00:23:00,120,100,Mobile
ACT00221,VWR0746,MOV022,2025-10-20 03:20:00,42,35,Desktop
ACT00222,VWR0602,MOV050,2025-08-26 00:48:00,111,93,Mobile
ACT00223,VWR0641,MOV006,2025-10-13 17:56:00,42,35,Desktop
ACT00224,VWR0354,MOV028,2025-09-16 20:45:00,64,54,Mobile
ACT00225,VWR0551,MOV048,2025-11-14 19:41:00,28,24,Smart TV
ACT00226,VWR0679,MOV013,2025-09-05 02:46:00,110,92,Desktop
ACT00227,VWR0192,MOV044,2025-04-23 17:22:00,79,66,Mobile
ACT00228,VWR1024,MOV056,2025-04-22 22:23:00,66,55,Tablet
ACT00229,VWR0664,MOV001,2025-10-05 23:08:00,98,82,Mobile
ACT00230,VWR1141,MOV058,2025-07-31 13:13:00,20,17,Desktop
ACT00231,VWR1462,MOV010,2025-12-18 17:23:00,99,83,Mobile
ACT00232,VWR0755,MOV055,2025-10-19 23:54:00,22,19,Desktop
ACT00233,VWR0657,MOV034,2025-10-25 02:43:00,49,41,Desktop
ACT00234,VWR1050,MOV019,2025-06-30 15:27:00,105,88,Mobile
ACT00235,VWR0294,MOV057,2025-06-05 15:57:00,104,87,Smart TV
ACT00236,VWR0393,MOV059,2025-05-10 17:46:00,79,66,Mobile
ACT00237,VWR0691,MOV055,2025-08-24 19:03:00,44,37,Smart TV
ACT00238,VWR1364,MOV022,2025-08-04 18:30:00,85,71,Desktop
ACT00239,VWR0694,MOV006,2025-11-01 02:37:00,55,46,Smart TV
