campaign_id,campaign_name,region,platform,spend_usd,impressions,conversion_rate,quarter
CAM001,burn_campaign_final,APAC,YT,456619,8454049,0.0523,Q2 FY2026
CAM002,burnCampaign_v2,North America,TikTok,371103,10141656,0.0453,q2 2026
CAM003,q2growth_USETHIS,North America,YouTube Shorts,232315,2889140,0.0259,q2 2026
CAM004,creator_collab_scifi,EU,YT,84169,565804,0.0073,2026-Q2
CAM005,generic_ad_1,APAC,IG Reels,196860,7732881,0.0262,q2 2026
CAM006,Campaign_FINAL_19,Apac,YT,55277,887418,0.0591,2026-Q2
CAM007,Campaign_FINAL_33,North America,TikTok,460304,14297960,0.0222,Q2 FY2026
CAM008,Campaign_FINAL_90,North America,Connected TV,264279,10607413,0.0356,2026-Q2
CAM009,Campaign_FINAL_76,NA,YT,-500,2128298,0.0214,q2 2026
CAM010,Campaign_beta_15,APAC,tiktok,364498,16834605,0.0345,Q2 FY2026
CAM011,Campaign_temp_62,EU,Instagram Reels,494876,9497992,0.0238,q2 2026
CAM012,Campaign_beta_94,Apac,IG Reels,337342,3668149,0.04,q2 2026
CAM013,Campaign_temp_16,North America,IG Reels,341507,13606855,0.0143,Q2 FY2026
CAM014,Campaign_Alpha_98,APAC,TikTok,260840,7616663,0.0451,Q2 FY2026
CAM015,Campaign_beta_75,Asia Pacific,IG Reels,24903,182426,0.0451,q2 2026
CAM016,Campaign_temp_51,North America,YouTube Shorts,284830,13681712,0.0316,Q2 FY2026
CAM017,Campaign_Alpha_85,Europe,Tik Tok,58938,2666191,0.0072,Q2 FY2026
CAM018,Campaign_FINAL_4,Europe,Connected TV,494017,15607632,0.0123,Q2 FY2026
CAM019,Campaign_beta_59,APAC,Instagram Reels,289529,13037553,0.0338,Q2 FY2026
CAM020,Campaign_FINAL_2,NA,IG Reels,171969,8206288,0.0409,2026-Q2
CAM021,Campaign_Alpha_1,Asia Pacific,TikTok,458687,5607597,0.0778,2026-Q2
CAM022,Campaign_beta_40,LATAM,IG Reels,454323,21459343,0.0183,2026-Q2
CAM023,Campaign_temp_32,Apac,Google Ads,21996,678831,0.0739,q2 2026
CAM024,Campaign_beta_7,Europe,Instagram Reels,117128,5631698,0.0125,2026-Q2
CAM025,Campaign_FINAL_63,EU,YT,316181,6836371,0.0181,2026-Q2
CAM026,Campaign_Alpha_14,Europe,YT,312499,6536474,0.0223,q2 2026
CAM027,Campaign_FINAL_40,EU,Instagram Reels,NaN,4806645,0.0175,q2 2026
CAM028,Campaign_temp_32,Europe,Connected TV,461887,19491448,0.0121,2026-Q2
CAM029,Campaign_Alpha_95,Apac,tiktok,13089,267510,0.0551,q2 2026
CAM030,Campaign_Alpha_96,NA,Instagram Reels,999999999,2290409,0.041,2026-Q2
CAM031,Campaign_beta_30,APAC,Tik Tok,349757,8370234,0.0427,2026-Q2
CAM032,Campaign_FINAL_68,North America,YT,436500,7167230,0.0332,Q2 FY2026
CAM033,Campaign_FINAL_6,Asia Pacific,tiktok,368904,16740882,0.0618,Q2 FY2026
CAM034,Campaign_temp_47,NA,Instagram Reels,261192,6540033,0.0204,q2 2026
CAM035,Campaign_beta_82,LATAM,Instagram Reels,249531,4089111,0.0342,Q2 FY2026
CAM036,Campaign_beta_64,NA,YT,354106,5925503,0.0254,2026-Q2
CAM037,Campaign_FINAL_95,Asia Pacific,YT,112488,5340475,0.0784,Q2 FY2026
CAM038,Campaign_Alpha_96,NA,Google Ads,43095,2150972,0.0442,q2 2026
CAM039,Campaign_Alpha_3,North America,Tik Tok,417180,13197708,0.0134,2026-Q2
CAM040,Campaign_temp_50,North America,TikTok,464600,4824374,0.0283,Q2 FY2026
CAM041,Campaign_temp_15,LATAM,TikTok,156136,2565187,0.025,Q2 FY2026
CAM042,Campaign_temp_23,NA,Tik Tok,376655,14741233,0.0384,2026-Q2
CAM043,Campaign_Alpha_15,LATAM,YouTube Shorts,346926,2759613,0.0174,q2 2026
CAM044,Campaign_Alpha_34,NA,Tik Tok,387515,10371434,0.012,2026-Q2
CAM045,Campaign_Alpha_81,APAC,Google Ads,254984,11126902,0.0485,q2 2026
CAM046,Campaign_Alpha_61,EU,Connected TV,285384,7204110,0.0229,2026-Q2
CAM047,Campaign_FINAL_86,Asia Pacific,YouTube Shorts,275953,7919269,1.5,Q2 FY2026
CAM048,Campaign_FINAL_31,Asia Pacific,Instagram Reels,131665,2833939,0.0268,Q2 FY2026
CAM049,Campaign_beta_45,Europe,Google Ads,237941,4072801,0.0061,Q2 FY2026
CAM050,Campaign_Alpha_33,LATAM,TikTok,238593,8123828,0.0145,Q2 FY2026
CAM051,Campaign_FINAL_62,Apac,tiktok,153373,5129446,0.0212,Q2 FY2026
CAM052,Campaign_beta_54,LATAM,TikTok,266196,11931519,0.0255,Q2 FY2026
CAM053,Campaign_Alpha_38,Apac,YT,56020,875302,0.0256,Q2 FY2026
CAM054,Campaign_temp_13,Asia Pacific,Connected TV,353475,7678488,0.0766,2026-Q2
CAM055,Campaign_FINAL_39,Apac,IG Reels,68484,1730154,1.5,2026-Q2
CAM056,Campaign_FINAL_64,Asia Pacific,YT,306317,1674462,0.0415,Q2 FY2026
CAM057,Campaign_FINAL_62,EU,YT,376026,15637788,0.0084,q2 2026
CAM058,Campaign_FINAL_95,NA,YouTube Shorts,349729,6715584,0.0334,q2 2026
CAM059,Campaign_beta_51,APAC,Connected TV,271736,10999666,0.0498,q2 2026
CAM060,Campaign_beta_32,North America,tiktok,130792,2201629,0.0191,Q2 FY2026
