review_id,viewer_id,movie_id,rating,review_text,sentiment,review_date
REV0001,VWR1086,MOV028,4,ending felt rushed tbh,Positive,2025-10-17
REV0002,VWR0683,MOV024,5,why is the app crashing?,Positive,2025-11-27
REV0003,VWR1481,MOV040,4,音楽 was good,Positive,2025-06-16
REV0004,VWR0185,MOV040,2,subtitles broken again,Negative,2025-07-17
REV0005,VWR0657,MOV038,2,,Negative,2025-04-15
REV0006,VWR1365,MOV041,2,ending felt rushed tbh,Negative,2025-09-20
REV0007,VWR1391,MOV019,3,音楽 was good,Neutral,2025-12-04
REV0008,VWR0045,MOV037,5,ERROR_EXPORT_ROW,Positive,2025-06-09
REV0009,VWR1371,MOV008,2,why is the app crashing?,Negative,2025-03-13
REV0010,VWR0232,MOV047,5,subtitles broken again,positive,2025-01-10
REV0011,VWR0906,MOV014,1,love it,Negative,2025-07-31
REV0012,VWR0737,MOV040,1,subtitles broken again,Negative,2025-12-06
REV0013,VWR1222,MOV002,4,subtitles broken again,Positive,2025-08-25
REV0014,VWR0779,MOV041,1,love it,Negative,2025-02-27
REV0015,VWR0564,MOV014,4,idk why people like this,Positive,2025-04-01
REV0016,VWR1083,MOV028,2,idk why people like this,Negative,2025-06-14
REV0017,VWR0190,MOV025,3,galaxy burn is the best thing ever 💯,Neutral,2025-11-08
REV0018,VWR0181,MOV024,2,galaxy burn is the best thing ever 💯,Negative,2025-06-10
REV0019,VWR1360,MOV029,4,meh,Positive,2025-09-18
REV0020,VWR1314,MOV057,4,so good!,Positive,2025-08-14
REV0021,VWR1025,MOV026,2,idk why people like this,Negative,2025-11-27
REV0022,VWR1462,MOV042,4,音楽 was good,Positive,2025-04-15
REV0023,VWR0329,MOV027,2,音楽 was good,Negative,2025-10-02
REV0024,VWR0335,MOV053,2,galaxy burn is the best thing ever 💯,Negative,2025-07-23
REV0025,VWR0364,MOV052,1,terrible pacing ngl,Negative,2025-01-24
REV0026,VWR1249,MOV045,4,音楽 was good,Positive,2025-06-24
