viewer_id,region,country,age_group,subscription_type,device_type,join_date
VWR0001,Europe,USA,,BASIC,Mobile,2020-02-24
VWR0002,Asia Pacific,South Korea,45-54,Basic,Tablet,2021-01-28
VWR0003,LATAM,India,35-44,Standard,Smart TV,2022-03-05
VWR0004,Apac,South Korea,35-44,Standard,Desktop,2021-01-12
VWR0005,Asia Pacific,Brazil,55+,Premium,iphone,2020-02-22
VWR0006,North America,South Korea,18-24,Standard,,2020-02-03
VWR0007,Europe,USA,25-34,BASIC,Desktop,2023-02-25
VWR0008,Apac,India,35-44,Standard,Mobile,2022-04-02
VWR0009,APAC,Germany,,Premium,MOBILE,2020-08-27
VWR0010,LATAM,Australia,18-24,premium,Tablet,2020-03-13
VWR0011,North America,UK,55+,Basic,Mobile,2020-12-05
VWR0012,Europe,South Korea,18-24,BASIC,MOBILE,2022-06-22
VWR0013,Apac,Brazil,,premium,MOBILE,2023-07-27
VWR0014,EU,South Korea,18-24,Basic,Desktop,2020/08/09
VWR0015,EU,Brazil,,BASIC,Mobile,2023-07-19
VWR0016,EU,USA,55+,Premium,,2023-11-27
VWR0017,APAC,UK,55+,Standard,MOBILE,2020-02-23
VWR0018,Asia Pacific,Brazil,35-44,Standard,mobile,2024-02-03
VWR0019,Apac,India,55+,Basic,Mobile,2020-07-12
VWR0020,North America,Germany,55+,BASIC,Mobile,2022-10-04
VWR0021,Europe,USA,35-44,premium,Smart TV,2023-03-01
VWR0022,NA,Brazil,18-24,Basic,Smart TV,2022-07-28
VWR0023,Europe,USA,,premium,Tablet,2023-02-27
VWR0024,NA,Brazil,35-44,Standard,Tablet,2024-01-03
VWR0025,North America,Germany,,Basic,Tablet,2020-10-31
VWR0026,Europe,USA,45-54,Basic,Smart TV,2022-09-10
VWR0027,APAC,Germany,55+,Basic,Tablet,2023-10-28
VWR0028,LATAM,Australia,35-44,Standard,mobile,2020-09-02
VWR0029,LATAM,India,55+,premium,MOBILE,2020-12-16
VWR0030,NA,Brazil,,Standard,,2023-03-25
VWR0031,Apac,UK,45-54,Standard,mobile,2023-11-09
VWR0032,Apac,South Korea,25-34,Standard,android,2023-03-29
VWR0033,Asia Pacific,UK,35-44,Standard,android,2022-07-09
VWR0034,APAC,South Korea,18-24,Basic,MOBILE,2023-10-16
VWR0035,EU,South Korea,18-24,premium,mobile,2022-09-20
VWR0036,LATAM,South Korea,25-34,Basic,Smart TV,2022-02-26
VWR0037,NA,USA,35-44,premium,,2021-10-25
VWR0038,APAC,Australia,55+,Standard,mobile,2023-11-10
VWR0039,NA,South Korea,,premium,,2023-04-11
VWR0040,LATAM,India,55+,BASIC,Smart TV,2022-10-22
VWR0041,NA,Brazil,55+,Premium,Smart TV,2020-09-12
VWR0042,Apac,Australia,45-54,Basic,mobile,2021-05-17
VWR0043,Europe,UK,,Basic,MOBILE,2021-10-03
VWR0044,Europe,South Korea,45-54,premium,Desktop,2020-08-24
VWR0045,LATAM,UK,35-44,Premium,mobile,2022-07-20
VWR0046,North America,India,,BASIC,Mobile,2022-05-14
VWR0047,APAC,Germany,55+,BASIC,Mobile,2023-10-02
VWR0048,EU,South Korea,,BASIC,Smart TV,2023-08-01
VWR0049,Asia Pacific,Japan,55+,premium,MOBILE,2021-09-28
VWR0050,North America,India,25-34,Basic,,2020-06-24
VWR0051,Europe,Brazil,18-24,Basic,Smart TV,2023-12-15
VWR0052,NA,India,35-44,Premium,,2022-12-18
VWR0053,EU,Germany,18-24,Basic,,2023-01-28
VWR0054,EU,USA,18-24,BASIC,MOBILE,2021-03-29
VWR0055,Asia Pacific,South Korea,,Premium,MOBILE,2023-03-17
VWR0056,Asia Pacific,India,25-34,Premium,android,2020-10-07
VWR0057,EU,USA,35-44,Basic,mobile,2020-03-11
VWR0058,NA,USA,25-34,BASIC,,2022/05/28
VWR0059,Apac,Brazil,45-54,premium,android,2021-08-03
VWR0060,APAC,Germany,18-24,Basic,mobile,2023-11-01
VWR0061,Apac,Brazil,55+,Basic,MOBILE,2022-01-20
VWR0062,Europe,USA,18-24,BASIC,mobile,2023-04-05
VWR0063,LATAM,South Korea,35-44,Standard,mobile,2020-04-05
VWR0064,EU,UK,35-44,Premium,Mobile,2021-09-07
VWR0065,LATAM,South Korea,,Premium,mobile,2021-12-16
VWR0066,APAC,South Korea,35-44,premium,Desktop,2021-11-06
VWR0067,LATAM,Brazil,45-54,Basic,Mobile,2023-11-28
VWR0068,North America,UK,25-34,Premium,,2021-02-19
VWR0069,North America,Japan,25-34,Premium,Tablet,2020-03-19
VWR0070,Apac,USA,35-44,BASIC,MOBILE,2020/01/28
VWR0071,Asia Pacific,India,55+,BASIC,android,2022-08-08
VWR0072,North America,India,,premium,MOBILE,2020-07-14
VWR0073,LATAM,India,18-24,Basic,mobile,2023-02-14
VWR0074,LATAM,South Korea,35-44,premium,MOBILE,2020-01-12
VWR0075,APAC,Brazil,25-34,Basic,Mobile,2022-10-01
VWR0076,Apac,Brazil,18-24,BASIC,iphone,2022-10-04
VWR0077,Asia Pacific,India,55+,Premium,android,2021/01/10
VWR0078,North America,Brazil,18-24,Standard,mobile,2023-10-04
VWR0079,Europe,Germany,18-24,BASIC,Smart TV,2022-01-27
VWR0080,APAC,Japan,25-34,Premium,mobile,2020-06-06
VWR0081,EU,Australia,55+,Basic,Smart TV,2021/05/12
VWR0082,North America,Japan,25-34,premium,Smart TV,2022-10-28
VWR0083,APAC,Germany,45-54,Standard,android,2023-06-02
VWR0084,Europe,Germany,,BASIC,MOBILE,2020-05-30
VWR0085,Asia Pacific,South Korea,25-34,Standard,iphone,04-02-2023
VWR0086,Asia Pacific,USA,18-24,Basic,iphone,2021-01-26
VWR0087,APAC,Germany,55+,Standard,android,2022-06-23
VWR0088,LATAM,Japan,45-54,Premium,MOBILE,2021-03-20
VWR0089,Asia Pacific,Germany,45-54,Basic,android,2024-01-30
VWR0090,Europe,India,18-24,Premium,Mobile,2021-03-07
VWR0091,North America,USA,,Standard,Mobile,2021-02-13
VWR0092,Europe,Germany,25-34,Basic,mobile,2024-01-28
VWR0093,Europe,Australia,18-24,Standard,mobile,2020-06-21
VWR0094,North America,South Korea,18-24,Basic,Tablet,2020-07-27
VWR0095,NA,USA,18-24,premium,Smart TV,2020-09-12
VWR0096,Asia Pacific,Brazil,45-54,BASIC,Mobile,2020-10-21
