activity_id,viewer_id,movie_id,watch_date,watch_minutes,completion_rate,device_used
ACT00001,VWR0395,,2025-10-22 19:20:00,46,39,iphone
ACT00002,VWR0181,MOV009,2025-04-16 11:26:00,120,100,SmartTV
ACT00003,VWR0979,MOV058,2025-05-16 00:22:00,46,39,SmartTV
ACT00004,VWR0467,MOV026,2025-05-31 23:43:00,103,86,iphone
ACT00005,VWR0146,MOV029,2025-03-23 12:31:00,91,76,iphone
ACT00006,VWR1444,MOV057,2025-10-28 17:37:00,57,48,Mobile
ACT00007,VWR0719,MOV002,2025-06-25 20:52:00,106,89,web
ACT00008,VWR0800,MOV038,2025-12-31 21:00:00,99,83,iPhone
ACT00009,VWR0597,MOV044,2025-11-03 18:43:00,99,83,iPhone
ACT00010,VWR0792,MOV017,2025-06-20 01:54:00,116,97,SmartTV
ACT00011,VWR0276,MOV043,2025-03-11 09:20:00,52,44,smart tv
ACT00012,VWR0671,MOV058,2025-02-01 20:21:00,109,91,Mobile
ACT00013,VWR0225,MOV023,2025-04-23 20:49:00,75,63,smart tv
ACT00014,VWR1404,MOV057,2025-11-15 21:02:00,78,65,smart tv
ACT00015,VWR0401,MOV009,2025-09-05 20:00:00,103,86,smart tv
ACT00016,VWR0766,MOV034,2025-11-21 19:27:00,94,79,smart tv
ACT00017,VWR1047,MOV015,2025-01-22 21:25:00,98,82,web
ACT00018,VWR1479,MOV037,2025-06-11 09:35:00,79,66,android
ACT00019,VWR0941,MOV010,2025-09-22 22:53:00,116,97,Mobile
ACT00020,VWR0915,MOV015,2025-12-09 02:02:00,109,91,smart tv
ACT00021,VWR1370,MOV023,2025-06-23 21:03:00,28,24,Mobile
ACT00022,VWR0109,MOV018,2025-02-04 23:25:00,102,85,iPhone
ACT00023,VWR0738,MOV030,2025-09-03 21:26:00,79,66,smart tv
ACT00024,VWR0010,MOV001,2025-11-09 19:04:00,63,53,Desktop
ACT00025,VWR0980,MOV028,2025-07-28 18:09:00,100,84,web
ACT00026,VWR0773,MOV041,2025-06-12 09:20:00,91,76,Desktop
ACT00027,VWR1183,MOV032,2025-08-02 18:11:00,36,30,SmartTV
ACT00028,VWR0286,MOV001,2025-06-07 21:40:00,112,94,iPhone
ACT00029,VWR1224,MOV015,2025-10-13 11:40:00,120,100,iphone
ACT00030,VWR0948,MOV017,2025-10-01 10:35:00,114,95,Desktop
ACT00031,VWR0674,MOV054,2025-04-15 15:29:00,76,64,iphone
ACT00032,VWR0059,MOV046,2025-11-06 00:57:00,18,15,iphone
ACT00033,VWR0750,MOV006,2025-10-05 13:22:00,55,46,SmartTV
ACT00034,VWR1164,MOV056,2025-01-18 18:21:00,115,96,web
ACT00035,VWR1218,MOV002,2025-02-22 20:53:00,106,89,iphone
ACT00036,VWR1208,MOV053,2025-10-31 23:33:00,103,86,iphone
ACT00037,VWR0524,MOV015,2025-07-22 04:40:00,108,90,iphone
ACT00038,VWR0281,MOV051,2025-12-23 21:25:00,97,81,smart tv
ACT00039,VWR1122,MOV024,2025-07-07 19:47:00,64,54,iphone
